date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-10,71.6,71.87,71.74,70.71,828123.0,-0.13,-0.18,71.126,71.01,71.946,1025915.46,1183753.42,1029998.59,0.76
2018-01-09,70.3,72.08,71.86,70.03,1239491.12,1.85,2.64,70.978,71.229,71.918,1219101.84,1184170.07,1027487.48,1.14
2018-01-08,70.79,70.79,69.98,69.32,1228729.5,-0.91,-1.28,71.13,71.461,71.989,1218436.24,1171218.86,1022509.29,1.13
2018-01-05,71.59,71.88,70.86,70.45,772075.81,-0.32,-0.45,71.132,71.87,72.065,1180693.94,1120298.56,1015854.43,0.71
2018-01-04,71.02,72.2,71.19,70.55,1061157.88,0.22,0.31,71.06,72.271,71.954,1252456.05,1136561.75,1020235.82,0.98
2018-01-03,73.4,73.9,71.0,70.11,1794054.88,-1.59,-2.19,70.894,72.547,71.865,1341591.38,1124384.25,1029458.3,1.66
2018-01-02,70.21,72.8,72.62,70.18,1236163.12,2.64,3.77,71.48,72.808,71.875,1149238.3,1072037.06,1024382.53,1.14
2017-12-29,71.09,71.53,69.99,69.5,1040018.0,-0.6,-0.85,71.792,72.614,71.714,1124001.48,1016332.45,1020538.53,0.96
2017-12-28,70.3,71.42,70.5,69.67,1130886.38,0.15,0.21,72.608,72.65,71.62,1059903.19,985885.38,1038189.93,1.04
2017-12-27,73.45,73.45,70.36,70.02,1506834.5,-3.58,-4.84,73.482,72.705,71.592,1020667.45,940415.43,1039832.27,1.39
2017-12-26,74.11,74.56,73.93,72.88,832289.5,-0.23,-0.31,74.2,72.881,71.695,907177.13,876243.76,1008240.77,0.77
2017-12-25,74.06,76.17,74.18,73.37,1109979.0,0.16,0.22,74.136,72.606,71.633,994835.83,870804.89,1005949.78,1.02
2017-12-22,74.8,75.2,74.07,73.63,719526.56,-0.84,-1.12,73.436,72.517,71.602,908663.43,873799.73,1032312.45,0.66
2017-12-21,73.64,75.58,74.87,73.21,934707.69,0.93,1.26,72.692,72.26,71.629,911867.56,911410.3,1062228.31,0.86
2017-12-20,73.49,74.59,73.95,73.08,939382.88,0.37,0.5,71.928,71.636,71.603,860163.41,903909.88,1094303.47,0.87
2017-12-19,70.91,73.63,73.61,70.71,1270583.0,2.94,4.16,71.562,71.183,71.783,845310.4,934532.34,1112008.72,1.17
2017-12-18,70.21,71.93,70.68,70.21,679117.0,0.3,0.43,71.076,70.941,72.021,746773.95,976727.99,1120758.04,0.63
2017-12-15,70.69,71.44,70.35,70.05,735547.25,-0.66,-0.93,71.598,70.813,72.274,838936.03,1024744.61,1143866.25,0.68
2017-12-14,72.12,72.16,71.05,70.6,676186.94,-1.07,-1.48,71.828,70.59,72.521,910953.03,1090494.48,1186108.57,0.62
2017-12-13,71.21,72.62,72.12,70.2,865117.81,0.91,1.28,71.344,70.478,72.624,947656.35,1139249.1,1210487.45,0.8
2017-12-12,73.25,73.56,71.18,71.17,777900.75,-2.07,-2.83,70.804,70.508,72.477,1023754.29,1140237.78,1217704.56,0.72
2017-12-11,71.2,73.31,73.29,70.82,1139927.38,1.8,2.52,70.806,70.659,72.441,1206682.04,1141094.67,1218896.93,1.05
